timestamp,src_ip,dest_ip,ioc_hits,ml_score
2025-12-28T23:23:40.598644+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:23:40.598643+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:23:40.651792+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:23:40.651792+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:23:40.652506+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:23:40.674798+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:46.778154+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:46.807962+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:46.829662+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:46.842874+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:46.777898+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:46.807550+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:23:28.234394+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:23:28.234394+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:23:28.234394+0200,10.0.2.15,91.189.91.111,1,1.0
2025-12-28T23:23:28.234394+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:23:28.234394+0200,10.0.2.15,185.125.190.122,1,1.0
2025-12-28T23:23:28.234394+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:23:28.234394+0200,10.0.2.15,91.189.91.113,1,1.0
2025-12-28T23:23:28.234394+0200,10.0.2.15,13.107.213.43,1,1.0
2025-12-28T23:23:28.234394+0200,10.0.2.15,20.52.64.201,1,1.0
2025-12-28T23:23:28.234394+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:23:28.234394+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:23:40.598643+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:23:40.598644+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:23:40.651792+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:23:40.651792+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:23:40.652506+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:23:40.674798+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:46.777898+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:46.778154+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:46.807550+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:46.807962+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:46.829662+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:46.842874+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:47.714294+0200,10.0.2.15,91.189.91.111,1,1.0
2025-12-28T23:24:47.714294+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:47.714294+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:47.714294+0200,10.0.2.15,20.52.64.201,1,1.0
2025-12-28T23:24:47.714294+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:47.714294+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:47.714294+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-28T23:24:47.714294+0200,10.0.2.15,91.189.91.113,1,1.0
2025-12-28T23:24:47.714294+0200,10.0.2.15,13.107.213.43,1,1.0
2025-12-28T23:24:47.714294+0200,10.0.2.15,185.125.190.122,1,1.0
2025-12-28T23:24:47.714294+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:29:38.463551+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:29:38.464010+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:29:38.490404+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:29:38.490798+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:29:38.505857+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:29:38.512903+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:29:54.692788+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:29:54.694182+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:29:54.716520+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:29:54.716966+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:29:54.738703+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:29:54.761616+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:29:54.947216+0200,10.0.2.15,13.107.213.43,1,1.0
2025-12-29T00:30:07.502535+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:07.504043+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:07.524587+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:07.525574+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:12.548704+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:12.550156+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:12.572386+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:12.573350+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:12.715041+0200,10.0.2.15,146.75.53.91,1,1.0
2025-12-29T00:30:12.946594+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:12.946444+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:12.968336+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:12.971189+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:13.101437+0200,10.0.2.15,34.160.144.191,1,1.0
2025-12-29T00:30:36.414537+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:36.435866+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:36.562561+0200,10.0.2.15,142.251.141.229,1,1.0
2025-12-29T00:30:36.659828+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:36.660744+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:36.682295+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:36.683412+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:36.686307+0200,10.0.2.15,74.125.193.84,1,1.0
2025-12-29T00:30:36.686314+0200,10.0.2.15,74.125.193.84,1,1.0
2025-12-29T00:30:36.775058+0200,74.125.193.84,10.0.2.15,1,1.0
2025-12-29T00:30:36.779269+0200,74.125.193.84,10.0.2.15,1,1.0
2025-12-29T00:30:36.779308+0200,74.125.193.84,10.0.2.15,1,1.0
2025-12-29T00:30:36.779972+0200,74.125.193.84,10.0.2.15,1,1.0
2025-12-29T00:30:36.950490+0200,10.0.2.15,74.125.193.84,1,1.0
2025-12-29T00:30:37.291899+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:37.292343+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:37.293190+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:37.315272+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:37.316326+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:37.318831+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:37.321320+0200,10.0.2.15,142.250.181.163,1,1.0
2025-12-29T00:30:37.321482+0200,10.0.2.15,142.250.181.163,1,1.0
2025-12-29T00:30:37.323442+0200,10.0.2.15,142.250.181.163,1,1.0
2025-12-29T00:30:37.386533+0200,142.250.181.163,10.0.2.15,1,1.0
2025-12-29T00:30:37.388626+0200,142.250.181.163,10.0.2.15,1,1.0
2025-12-29T00:30:37.393821+0200,142.250.181.163,10.0.2.15,1,1.0
2025-12-29T00:30:37.394856+0200,142.250.181.163,10.0.2.15,1,1.0
2025-12-29T00:30:37.409639+0200,142.250.181.163,10.0.2.15,1,1.0
2025-12-29T00:30:37.479705+0200,10.0.2.15,142.250.181.163,1,1.0
2025-12-29T00:30:37.479741+0200,10.0.2.15,142.250.181.163,1,1.0
2025-12-29T00:30:37.479741+0200,10.0.2.15,142.250.181.163,1,1.0
2025-12-29T00:30:37.544111+0200,142.250.181.163,10.0.2.15,1,1.0
2025-12-29T00:30:37.547226+0200,142.250.181.163,10.0.2.15,1,1.0
2025-12-29T00:30:37.550697+0200,142.250.181.163,10.0.2.15,1,1.0
2025-12-29T00:30:37.552039+0200,142.250.181.163,10.0.2.15,1,1.0
2025-12-29T00:30:37.567156+0200,142.250.181.163,10.0.2.15,1,1.0
2025-12-29T00:30:38.098440+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.199811+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.224276+0200,10.0.2.15,142.251.140.99,1,1.0
2025-12-29T00:30:38.224280+0200,10.0.2.15,142.251.140.99,1,1.0
2025-12-29T00:30:38.224280+0200,10.0.2.15,142.251.140.99,1,1.0
2025-12-29T00:30:38.300933+0200,142.251.140.99,10.0.2.15,1,1.0
2025-12-29T00:30:38.301170+0200,142.251.140.99,10.0.2.15,1,1.0
2025-12-29T00:30:38.301171+0200,142.251.140.99,10.0.2.15,1,1.0
2025-12-29T00:30:38.301389+0200,142.251.140.99,10.0.2.15,1,1.0
2025-12-29T00:30:38.334387+0200,142.251.140.99,10.0.2.15,1,1.0
2025-12-29T00:30:38.357079+0200,10.0.2.15,142.251.140.99,1,1.0
